year,ine_code,name,province_id,autonomous_region_id,population,debt,budget_line_amount,budget_line_amount_per_inhabitant,total_budget,total_budget_per_inhabitant
2015,22013,Alberuela de Tubo,22,2,314,102000.0,6300.0,20.06,355110.0,1130.92
2015,25008,Albesa,25,9,1624,339000.0,53253.0,32.79,1023676.0,630.34
2015,50011,Albeta,50,2,145,56000.0,9300.0,64.14,265240.57,1829.25
2015,25009,"Albi, L'",25,9,819,0.0,,,779750.0,952.09
2015,9009,Albillos,9,7,221,52000.0,10500.0,47.51,239080.34,1081.82
2015,43002,Albinyana,43,9,2320,1432000.0,265000.0,114.22,2546868.95,1097.78
2015,43003,"Albiol, L'",43,9,448,172000.0,22604.04,50.46,512801.5,1144.65
2015,20004,Albiztur,20,16,320,0.0,,,0.0,0.0
2015,12003,Albocàsser,12,10,1334,503000.0,63802.1,47.83,1411786.0,1058.3
2015,4005,Alboloduy,4,1,653,31000.0,21200.0,32.47,477004.48,730.49
2015,18003,Albolote,18,1,18464,2720000.0,483773.58,26.2,14686747.93,795.43
2015,18004,Albondón,18,1,782,36000.0,32000.0,40.92,736905.61,942.33
2015,17004,Albons,17,9,745,284000.0,39600.0,53.15,560000.0,751.67
2015,46012,Alborache,46,10,1136,527000.0,119815.59,105.47,1528825.2,1345.79
2015,46013,Alboraya,46,10,23819,44271000.0,4301950.54,180.61,16546822.34,694.69
2015,2005,Alborea,2,8,754,0.0,200.0,0.27,477940.0,633.89
2015,50012,Alborge,50,2,121,0.0,,,113383.86,937.05
2015,5005,Albornos,5,7,205,0.0,,,0.0,0.0
2015,4006,Albox,4,1,11429,21003000.0,2073401.38,181.42,7693000.0,673.11
2015,30004,Albudeite,30,14,1374,225000.0,48568.5,35.35,1120536.03,815.54
2015,6005,"Albuera, La",6,11,2046,2890000.0,329000.0,160.8,2500314.75,1222.05
2015,46014,Albuixech,46,10,3928,538000.0,234058.0,59.59,3559792.0,906.26
2015,18005,Albuñán,18,1,420,0.0,1.0,0.0,401238.0,955.32
2015,18006,Albuñol,18,1,6948,6366000.0,803822.9,115.69,3574190.17,514.42
2015,18007,Albuñuelas,18,1,893,0.0,,,1024940.62,1147.74
2015,6006,Alburquerque,6,11,5486,4551000.0,368925.51,67.25,4641283.6,846.02
2015,45004,Alcabón,45,8,720,256000.0,,,0.0,0.0
2015,2006,Alcadozo,2,8,699,524000.0,106800.0,152.79,542711.0,776.4
2015,44011,Alcaine,44,2,74,0.0,,,126158.0,1704.83
2015,50013,Alcalá de Ebro,50,2,279,34000.0,6800.0,24.37,387800.0,1389.96
2015,41004,Alcalá de Guadaíra,41,1,74845,70477000.0,15298889.35,204.41,72280655.0,965.75
2015,22014,Alcalá de Gurrea,22,2,273,0.0,,,0.0,0.0
2015,28005,Alcalá de Henares,28,13,198750,156132000.0,,,164720000.0,828.78
2015,44012,Alcalá de la Selva,44,2,399,174000.0,,,0.0,0.0
2015,16008,Alcalá de la Vega,16,8,105,0.0,,,0.0,0.0
2015,11001,Alcalá de los Gazules,11,1,5326,4762000.0,504615.0,94.75,5682619.96,1066.97
2015,50014,Alcalá de Moncayo,50,2,186,247000.0,,,0.0,0.0
2015,12004,Alcalà de Xivert,12,10,7255,1775000.0,559762.26,77.16,9851187.0,1357.85
2015,2007,Alcalá del Júcar,2,8,1250,0.0,,,1102328.0,881.87
2015,22015,Alcalá del Obispo,22,2,342,0.0,760.0,2.22,437805.0,1280.14
2015,41005,Alcalá del Río,41,1,11745,4300000.0,1941377.58,165.29,8143693.26,693.37
2015,11002,Alcalá del Valle,11,1,5224,120000.0,24151.37,4.62,4901142.21,938.19
2015,23002,Alcalá la Real,23,1,22036,8544000.0,1572730.4,71.37,22440000.0,1018.33
2015,3006,Alcalalí,3,10,1311,0.0,23100.0,17.62,810000.0,617.84
2015,22016,Alcampell,22,2,697,203000.0,31000.0,44.48,670000.0,961.26
2015,26007,Alcanadre,26,17,710,66000.0,34113.63,48.05,844770.37,1189.81
2015,43004,Alcanar,43,9,9603,3486000.0,510248.05,53.13,7290254.5,759.16
2015,49003,Alcañices,49,7,1108,307000.0,175000.0,157.94,955500.0,862.37
2015,44013,Alcañiz,44,2,16230,10591000.0,,,0.0,0.0
2015,45005,Alcañizo,45,8,292,0.0,,,219429.0,751.47
2015,25010,Alcanó,25,9,246,0.0,,,296722.81,1206.18
2015,10008,Alcántara,10,11,1571,0.0,95098.4,60.53,2373379.72,1510.74
2015,30005,Alcantarilla,30,14,41021,49308000.0,4959489.41,120.9,25840356.01,629.93
2015,46016,Alcàntera de Xúquer,46,10,1341,704000.0,144670.01,107.88,791455.55,590.2
2015,16009,Alcantud,16,8,72,0.0,,,0.0,0.0
2015,14003,Alcaracejos,14,1,1523,185000.0,82428.0,54.12,2104798.0,1382.01
2015,2008,Alcaraz,2,8,1529,73000.0,38459.0,25.15,1442235.0,943.24
2015,25011,Alcarràs,25,9,9372,4863000.0,787000.0,83.97,8507180.0,907.72
2015,46015,Alcàsser,46,10,9612,0.0,90000.0,9.36,5695807.1,592.57
2015,29002,Alcaucín,29,1,2375,0.0,,,2017893.78,849.64
2015,23003,Alcaudete,23,1,10779,2564000.0,668944.0,62.06,9464484.0,878.04
2015,45006,Alcaudete de la Jara,45,8,1897,867000.0,61200.0,32.26,1297100.0,683.76
2015,13005,Alcázar de San Juan,13,8,31269,10812000.0,3720383.04,118.98,29448385.31,941.78
2015,16010,Alcázar del Rey,16,8,172,0.0,,,275165.2,1599.8
2015,47005,Alcazarén,47,7,693,0.0,8549.91,12.34,556800.0,803.46
2015,30902,"Alcázares, Los",30,14,15605,10277000.0,,,0.0,0.0
2015,13006,Alcoba,13,8,637,471000.0,50730.49,79.64,462038.84,725.34
2015,28006,Alcobendas,28,13,113055,11194000.0,2527362.52,22.36,134438804.25,1189.15
2015,19009,Alcocer,19,8,360,0.0,,,0.0,0.0
2015,3007,Alcocer de Planes,3,10,216,0.0,,,173245.0,802.06
2015,9010,Alcocero de Mola,9,7,33,0.0,,,91800.0,2781.81
2015,16011,Alcohujate,16,8,32,0.0,,,0.0,0.0
2015,4007,Alcolea,4,1,812,300000.0,36882.35,45.42,953946.44,1174.82
2015,13007,Alcolea de Calatrava,13,8,1475,0.0,100.0,0.07,1031026.0,699.01
2015,22017,Alcolea de Cinca,22,2,1125,555000.0,70500.0,62.67,992309.6,882.05
2015,19010,Alcolea de las Peñas,19,8,13,0.0,,,0.0,0.0
2015,45007,Alcolea de Tajo,45,8,830,193000.0,47054.28,56.69,965377.05,1163.1
2015,19011,Alcolea del Pinar,19,8,343,0.0,,,596450.0,1738.93
2015,41006,Alcolea del Río,41,1,3414,0.0,,,3107030.0,910.09
2015,3008,Alcoleja,3,10,184,0.0,876.0,4.76,134435.0,730.62
2015,25012,Alcoletge,25,9,3285,0.0,,,2060000.0,627.1
2015,10009,Alcollarín,10,11,256,229000.0,77700.0,303.52,549582.09,2146.81
2015,42006,Alconaba,42,7,195,0.0,,,294500.0,1510.26
2015,37012,Alconada,37,7,160,0.0,,,125650.0,785.32
2015,40005,Alconada de Maderuelo,40,7,37,0.0,,,0.0,0.0
2015,6007,Alconchel,6,11,1790,345000.0,,,0.0,0.0
2015,50015,Alconchel de Ariza,50,2,80,0.0,,,0.0,0.0
2015,16012,Alconchel de la Estrella,16,8,111,57000.0,5747.02,51.77,161645.0,1456.25
2015,6008,Alconera,6,11,747,0.0,,,670586.76,897.71
2015,4008,Alcóntar,4,1,570,293000.0,42850.0,75.18,1432988.0,2514.02
2015,12005,"Alcora, l'",12,10,10591,6402000.0,847331.67,80.0,11169810.31,1054.64
2015,28007,Alcorcón,28,13,167136,364891000.0,25174464.27,150.62,178622567.25,1068.72
2015,44014,Alcorisa,44,2,3374,1414000.0,,,3003100.0,890.08
2015,19013,Alcoroches,19,8,141,0.0,,,347060.04,2461.41
2015,43005,Alcover,43,9,5073,5316000.0,693710.0,136.75,5219620.0,1028.9
2015,3009,Alcoy/Alcoi,3,10,59567,24596000.0,6060432.98,101.74,44060943.27,739.68
2015,22018,Alcubierre,22,2,399,0.0,,,320260.13,802.66
